Ticker,Company
2743.TWO,"Richmond International Travel & Tours Co.,Ltd"
5489.TWO,"DynaColor, Inc."
6122.TWO,"King Polytechnic Engineering Co., Ltd."
4417.TWO,"King Chou Marine Technology Co., Ltd."
4707.TWO,Pan Asia Chemical Co.
2732.TWO,"La Kaffa International Co., Ltd."
5863.TWO,Taipei Star Bank
6722.TWO,"Whetron Electronics Co.,Ltd."
3594.TWO,ARBOR Technology Corp.
3234.TWO,TrueLight Corporation
1777.TWO,"SYN-TECH Chem. & Pharm. Co., Ltd."
8042.TWO,"Taiwan Chinsan Electronic Industrial Co., Ltd."
6844.TWO,"Norbel Baby Co., Ltd"
6417.TWO,"Securitag Assembly Group Co., Ltd."
7728.TWO,"Enli Technology Co.,Ltd"
5452.TWO,UNIC Technology Corp.
5426.TWO,"Cheng Fwa Industrial Co., Ltd."
3577.TWO,"ICP Das Co., Ltd."
1271.TWO,"SunWay Biotech Co., LTD."
6634.TWO,Sinew Pharma Inc.
5299.TWO,Excelliance MOS Corporation
8098.TWO,"Dura Tek, Inc."
6733.TWO,"BioGend Therapeutics Co., Ltd."
3484.TWO,Solteam Incorporation
7707.TWO,"CMSC, Inc."
2596.TWO,ReaLy Development & Construction Corp.
2754.TWO,"Kura Sushi Asia Co., Ltd."
3219.TWO,"Aethertek technology co., Ltd."
3624.TWO,Viking Tech Corporation
6272.TWO,"Wieson Technologies Co., Ltd."
8905.TWO,"Eagle Cold Storage Enterprise Co., Ltd."
3317.TWO,"Niko Semiconductor Co., Ltd."
6538.TWO,"Brave C&H Supply Co.,Ltd."
4563.TWO,"Quaser Machine Tools, Inc."
1295.TWO,Synbio Tech Inc.
6877.TWO,"Hye Technology Co.,Ltd"
6291.TWO,Analog Integrations Corporation
6435.TWO,"Sinopower Semiconductor, Inc."
8279.TWO,"Syngen Biotech Co.,Ltd."
4580.TWO,"Value Valves Co., Ltd."
7702.TWO,APEX Wind Power Equipment Manufacturing
1784.TWO,BIONET Corp.
8403.TWO,"ShareHope Medicine Co., Ltd."
8329.TWO,"Taiwan Television Enterprise Co.,Ltd."
6171.TWO,"Tacheng Real Estate Co.,Ltd."
7721.TWO,"Microprogram Information Co.,Ltd"
8049.TWO,"Ampire Co., Ltd."
3570.TWO,Otsuka Information Technology Corp.
5013.TWO,"New Best Wire Industrial Co.,Ltd"
6703.TWO,"Shiny Brands Group Co., Ltd."
8171.TWO,Formosa Electronic Industries Inc.
6881.TWO,Ruentex Interior Design Inc.
7757.TWO,"Lebledor F&B Co., Ltd."
6986.TWO,"HeXun Biosciences Co., Ltd."
3158.TWO,"SysJust Co., Ltd."
6568.TWO,"Rafael Microelectronics, Inc."
3290.TWO,Donpon Precision Inc.
6207.TWO,"Laser Tek Taiwan Co.,Ltd."
5209.TWO,CTCI Advanced Systems Inc.
2066.TWO,"Sumeeko Industries Co., Ltd."
6629.TWO,"Thai Kin Co., Ltd."
4570.TWO,"Jason Co., Ltd."
4527.TWO,"Kuen Ling Machinery Refrigerating Co., Ltd."
5475.TWO,Glotech Industrial Corp.
6926.TWO,"Shine-On BioMedical Co.,Ltd."
4168.TWO,GlycoNex Incorporation
4541.TWO,"Magnate Technology Co., Ltd."
6761.TWO,"Wendell Industrial Co., Ltd"
2916.TWO,Munsin Garment Corporation
6150.TWO,TUL Corporation
4169.TWO,TCM Biotech International Corp.
8433.TWO,"Bon Fame Co., Ltd."
6275.TWO,Yen Sun Technology Corporation
8284.TWO,Mitake Information Corporation
8183.TWO,Info-Tek Corporation
6855.TWO,"Eclatorq Technology Co., Ltd."
4714.TWO,"U-Best Innovative Technology Co., Ltd."
7747.TWO,GrandTech Cloud Services Inc.
5529.TWO,"MEGA International Development Co.,Ltd."
6775.TWO,"Entire Technology Co., Ltd."
6920.TWO,"Phoenix Pioneer technology Co., Ltd."
3313.TWO,"Feei Cherng Develop Technology Co., Ltd."
4207.TWO,"Taiwan Fructose Co., Ltd."
6609.TWO,"Taiwan Takisawa Technology Co., Ltd."
6123.TWO,GrandTech C.G. Systems Inc.
3083.TWO,Chinese Gamer International Corporation
6237.TWO,C-Media Electronics Inc.
8240.TWO,Wah Hong Industrial Corp.
3466.TWO,Skardin Industrial Corporation
4760.TWO,"Ample Electronic Technology Co.,Ltd."
4546.TWO,"Chaheng Precision Co., Ltd."
6156.TWO,"Song Shang Electronics Co.,Ltd."
5493.TWO,Sanlien Technology Corp.
6028.TWO,"Golden Insurance Brokers Co.,Ltd."
3323.TWO,Celxpert Energy Corporation
5356.TWO,"Sirtec International Co.,Ltd."
3595.TWO,"Alliance Material Co., Ltd."
4911.TWO,"G&E Herbal Biotechnology Co., Ltd."
6179.TWO,"ATE Energy International Co., Ltd."
3226.TWO,"LFA Co., Ltd."
6461.TWO,Intech Biopharm Corporation
6892.TWO,"Taiwan Bio Therapeutics Co., Ltd"
8182.TWO,Harmony Electronics Co. Ltd
6492.TWO,"Senhwa Biosciences, Inc."
7642.TWO,"Champ-Ray Industrial Co., Ltd."
4747.TWO,"Johnson Chemical Pharmaceutical Works Co., Ltd."
3527.TWO,"Macroblock, Inc."
6651.TWO,Cystech Electronics Corp.
3512.TWO,"Huang Long Development Co.,Ltd."
6163.TWO,HwaCom Systems Inc.
3633.TWO,Epoch Chemtronics Corp.
6217.TWO,"C.C.P. Contact Probes Co., Ltd."
8085.TWO,"Forward Electronics Co., Ltd."
7402.TWO,Brinno Incorporated
7730.TWO,"Nano Electronics and Micro System Technologies, Inc."
5905.TWO,"Nan Ren Lake Leisure Amusement Co., Ltd."
6220.TWO,"YFC-Boneagle Electric Co., Ltd."
6219.TWO,"Full Wang International Development Co., Ltd."
8089.TWO,Comtrend Corporation
6126.TWO,"Singatron Enterprise Co.,Ltd"
6864.TWO,"Anti-Microbial Savior BioteQ Co., Ltd"
4175.TWO,"MedFirst Healthcare Services, Inc."
2719.TWO,TSG Star Travel Corp.
3230.TWO,"Jiin Ming Industry Co., Ltd."
2756.TWO,Lian Fa International Dining Business Corp.
3379.TWO,Taiwan Benefit Company
1343.TWO,Sun Rise E&T Corporation
7713.TWO,"WeLeader Biomedical Co., Ltd."
6968.TWO,Wonder Pets Enterprises Corporation
7731.TWO,"MARX Biotech Co., Ltd."
6898.TWO,"ChainSea Information Integration Co.,Ltd."
6925.TWO,"eLand Information Co., Ltd"
8342.TWO,"I Jang Industrial Co.,Ltd."
4561.TWO,"Kenturn Nano. Tec. Co., Ltd."
6737.TWO,"Solid Year Co., Ltd."
8424.TWO,"Wellpool Co., Ltd."
2237.TWO,RAC Electric Vehicles Inc.
3580.TWO,"UVAT Technology Co., Ltd."
4138.TWO,Dynamic Medical Technologies Inc.
8930.TWO,CKM Applied Materials Corp.
4903.TWO,United Fiber Optic Communication Inc.
6148.TWO,Azion Corporation
7566.TWO,"Argo Yachts Development Co.,Ltd."
2643.TWO,"Soonest Express Co., Ltd."
1586.TWO,"China Fineblanking Technology Co.,Ltd."
6603.TWO,"Fu Chun Shin Machinery Manufacture Co., Ltd."
6912.TWO,"Yi Chun Green Technology Co., Ltd."
7547.TWO,"Intumit, Inc."
6693.TWO,Inergy Technology Inc.
6580.TWO,"TaiRx, Inc."
